Sr.,Particulars,Qty,Rate,Total,Date,,,,,,,,,,,
1,Upper Cover United,1014,40,40560,10-Oct-11,,Date,INV- GP,Details,Debit,Credit,Balance,,,,
2,Back Cover 70,2519,32,80608,,,10-Oct,847,,127234,148750,-21516,,,,
3,Housing 70,674,9,6066,,,14-Oct,852,,66558,,45042,,,,
4,,,,127234,,,17-Oct,857,,38427,,83469,,,,
5,Upper Cover United,741,40,29640,14-Oct-11,,19-Oct,859,,45189,,128658,,,,
6,Housing 70,602,9,5418,,,22-Oct,871,,37752,,166410,,,,
7,Dial Blank 70,3500,9,31500,,,16-Dec,830,,6400,,172810,,,,
8,,,,66558,,,17-Dec,,Cheque HBL,,50000,122810,,,,
9,Upper Cover United,507,40,20280,17-Oct-11,,11-Feb,891,,69850,,192660,,,,
10,Back Cover 70,465,32,14880,,,21-Feb,602,,19825,,212485,,,,
11,Housing 70,363,9,3267,,,01-Mar,610,,82441,,294926,,,,
12,,,,38427,,,07-Mar,616,,56960,,351886,,,,
13,Upper Cover United,503,40,20120,19-Oct-11,,20-Mar,,Cheque# 0118276 (HBL),,100000,251886,,,,
14,Back Cover 70,521,32,16672,,,12-Mar-12,623,,40448,,292334,,,,
15,Housing 70,933,9,8397,,,16-Mar-12,629,,46766,,339100,,,,
16,,,,45189,,,21-Mar-12,630,,49702,,388802,,,,
17,Upper Cover United,735,40,29400,22-Oct-11,,11-Apr-12,,Cheque# 0046098 (HBL),,150000,238802,,,,
18,Housing 70,928,9,8352,,,30-Mar-12,633,,46312,,285114,,,,
19,,,,37752,,,04-Apr-12,643,,50368,,335482,,,,
20,Upper Cover 70 New,100,40,4000,16-Dec-11,,06-Apr-12,647,,22410,,357892,,,,
21, Meter Wire 70,100,24,2400,,,09-Apr-12,654,,40024,,397916,,,,
22,,,,6400,,,11-Apr-12,655,,77951,,475867,,,,
23,Dial Blank 70,1100,9,9900,11-Feb-12,,19-Apr-12,663,,74172,,550039,,,,
24,Upper Cover 70 New,100,40,4000,,,28-Apr-12,,,40328,,590367,,,,
25,Dial Blank 70,150,9,1350,,,13-May-12,,Cheque# 0261043 (HBL),,200000,390367,,,,
26,Printed Dial 70,1170,7,8190,,,02-May-12,1,,70766,,461133,,,,
27,Upper Cover Hi Speed,1105,42,46410,,,03-May-12,,Cheque# 0227935 (HBL),,40000,421133,,,,
28,,,,69850,,,05-May-12,2,,38228,,459361,,,,
29,Dial Blank 70,425,9,3825,21-Feb-12,,08-May-12,3,,35558,,494919,,,,
30,Upper Cover 70 New,400,40,16000,,,11-May-12,4,,42188,,537107,,,,
31,,,,19825,,,15-May-12,5,,43703,,580810,,,,
32,Dial Blank 70,325,9,2925,01-Mar-12,,03-Dec-11,,Cheque HBL,,50000,530810,,,,
33,Dial Blank 70,700,9,6300,,,22-May-12,6,,77533,,608343,,,,
34,Upper Cover 70 New,150,40,6000,,,25-May-12,7,,47226,,655569,,,,
35,Meter Wire,150,24,3600,,,28-May-12,8,,27830,,683399,,,,
36,Dial Blank 70,1000,9,9000,,,15-Jun,,Cheque# 0261100 (HBL),,350000,333399,,,,
37,Dial Printed 70,535,7,3745,,,01-Jun,9,,34881,,368280,,,,
38,Dial Printed Challenger,423,7,2961,,,02-Jun,10,,61218,,429498,,,,
39,Upper Cover United,618,40,24720,,,07-Jun,11,,70695,,500193,,,,
40,Back Cover 70,570,32,18240,,,06-09-12,12,,49339,,549532,,,,
41,Housing 70,550,9,4950,,,11-Jun,13,,38944,,588476,,,,
42,,,,82441,,,14-Jun,14,,53204,,641680,,,,
43,Pointer Given,3000,9,27000,01-Mar-12,,18-Jun,15,,30564,,672244,,,,
44,Dial Blank 70,3000,9,27000,07-Mar-12,,06-21-12,16,,34988,,707232,,,,
45,Upper Cover Zxmco,441,40,17640,,,07-20-12,,Cheque# 0227983 HBL,,420000,287232,,,,
46,Back Cover 70,385,32,12320,,,07-02-12,17,,85575,,372807,,,,
47,,,,56960,,,07-05-12,18,,46295,,419102,,,,
48,Upper Cover Zxmco,507,42,21294,12-Mar-12,,07-09-12,19,,52115,,471217,,,,
49,Back Cover 70,454,32,14528,,,07-11-12,20,,24969,,496186,,,,
50,Housing 70,514,9,4626,,,07-14-12,21,,24763,,520949,,,,
51,,,,40448,,,07-19-12,22,,26240,,547189,,,,
52,Upper Cover united,563,40,22520,16-Mar-12,,07-21-12,23,,20069,,567258,,,,
53,Back Cover 70,594,32,19008,,,08-01-12,24,,36761,,604019,,,,
54,Housing 70 black,582,9,5238,,,08-03-12,25,,59739,,663758,,,,
55,,,,46766,,,08-06-12,26,,53420,,717178,,,,
56,Dial Blank Quinque,125,12,1500,21-Mar-12,,08-07-12,27,,61099,,778277,,,,
57,Upper Cover 70,50,40,2000,,,08-08-12,28,,14928,,793205,,,,
58,Meter Wire United,500,24,12000,,,08-17-12,,Cheq# 0372919 HBL,,150000,643205,,,,
59,Upper Cover 70 New,250,40,10000,,,08-25-12,,Cheq# 0372925 HBL,,150000,493205,,,,
60,Upper Cover United 70,305,40,12200,,,08-11-12,29,,40499,,533704,,,,
61,Back Cover 70,190,32,6080,,,08-28-12,30,,57080,,590784,,,,
62,Housing 70 Blue,250,9,2250,,,08-30-12,31,,46901,,637685,,,,
63,Housing 70 black,408,9,3672,,,09-01-12,32,,63118,,700803,,,,
64,,,,49702,,,09-03-12,33,,43860,,744663,,,,
1,Back Cover 70,189,32,6048,30-Mar-12,,09-17-12,,,37196,,982751,,,,
2,Back Cover 70,204,32,6528,,,09-18-12,,Cheq# 0372982 HBL,,275000,707751,,,,
3,Back Cover 70,102,32,3264,,,09-18-12,,Cheq# CD-8733032 Alfalah B,,100000,607751,,,,
4,housing 70,132,9,1188,,,09-20-12,40,,42858,,650609,,,,
5,upper Cover 70,92,40,3680,,,09-24-12,41,,41284,,691893,,,,
6,Meter Wire 70,500,24,12000,,,09-26-12,42,,67960,,759853,,,,
7,Upper Cover Unique,247,40,9880,,,09-27-12,43,,56428,,816281,,,,
8,Back Cover 70,77,32,2464,,,10-01-12,44,,68254,,884535,,,,
9,housing 70,140,9,1260,,,10-05-12,45,,49991,,934526,,,,
10,,,,46312,,,10-08-12,46,,65125,,999651,,,,
11,Back Cover 70,154,32,4928,04-Apr-12,,10-11-12,47,,60000,,1059651,,,,
12,housing 70 Black,240,9,2160,,,10-13-12,48,,60829,,1120480,,,,
13,Upper Cover United,240,40,9600,,,10-18-12,,Cheq# 0432903 HBL,,450000,670480,,,,
14,Upper Cover 70,170,40,6800,,,09-19-12,36,,41682,,712162,,,,
15,housing 70,260,9,2340,,,10-17-12,49,,60232,,772394,,,,
16,Dial Blank 70,1500,9,13500,,,10-24-12,50,,82516,,854910,,,,
17,housing 70 black,160,9,1440,,,10-25-12,51,,53464,,908374,,,,
18,Upper Cover Zxmco,240,40,9600,,,11-01-12,52,,62609,,970983,,,,
19,,,,50368,,,11-05-12,53,,84828,,1055811,,,,
20,Upper Cover Zxmco,284,40,11360,06-Apr-12,,11-07-12,54,,60720,,1116531,,,,
21,Back Cover 70,167,32,5344,,,11-07-12,55,,66908,,1183439,,,,
22,housing 70,634,9,5706,,,11-12-12,56,,51302,,1234741,,,,
23,,,,22410,,,11-14-12,57,,48896,,1283637,,,,
24,Dial Blank Quinque,500,12,6000,09-Apr-12,,11-15-12,,Cheq# Rp-15864701 BAF,,400000,883637,,,,
25,Dial Blank 70,400,9,3600,,,11-19-12,58,,77612,,961249,,,,
26,Upper Cover Zxmco,388,40,15520,,,11-21-12,,Cheq# 4591001 MCB,,150000,811249,,,,
27,Back Cover 70,432,32,13824,,,11-26-12,59,,89112,,900361,,,,
28,Housing 70 (Black),120,9,1080,,,11-29-12,,Cheq# 15125721 AFB,,50000,850361,,,,
29,,,,40024,,,11-29-12,60,,72482,,922843,,,,
30,Upper Cover Quinque,407,45,18315,11-Apr-12,,12-01-12,61,,53599,,976442,,,,
31,Back Cover 70,483,32,15456,,,12-03-12,62,,39609,,1016051,,,,
32,Housing 70,500,9,4500,,,12-05-12,63,,62148,,1078199,,,,
33,Nest Quinque,530,20,10600,,,12-08-12,64,,77641,,1155840,,,,
34,Housing Quinque,528,35,18480,,,12-10-12,65,,61454,,1217294,,,,
35,back cover Quinque,530,20,10600,,,12-12-12,66,,70937,,1288231,,,,
36,,,,77951,,,12-15-12,67,,41933,,1330164,,,,
37,Back Cover 70,186,32,5952,19-Apr-12,,12-12-12,,Cheq# 1088107 MBL,,300000,1030164,,,,
38,Upper Cover Zxmco,148,40,5920,,,12-17-12,68,,60180,,1090344,,,,
39,Back Cover 70,195,32,6240,,,12-17-12,,Cheq# 0181527 UBL,,35000,1055344,,,,
40,Upper Cover Zxmco,388,40,15520,,,12-17-12,,Cheq# 10029797 BAHL,,160000,895344,,,,
41,Back Cover 70,93,32,2976,,,12-20-12,,Cheq# 6708831 HBL,,105000,790344,,,,
42,Upper Cover Zxmco,424,40,16960,,,12-22-12,69,,68785,,859129,,,,
43,Back Cover 70,492,32,15744,,,12-27-12,70,,68444,,927573,,,,
44,Housing 70 (Black),540,9,4860,,,12-29-12,71,,55537,,983110,,,,
45,,,,74172,,,01-02-13,72,,94394,,1077504,,,,
46,Upper Cover Zxmco,148,40,5920,23-Apr,,01-03-13,73,,62542,,1140046,,,,
47,Dial blank 70,1000,9,9000,26-Apr-12,,01-04-13,74,,40856,,1180902,,,,
48,Upper Cover Window,444,40,17760,28-Apr-12,,01-08-13,75,,62908,,1243810,,,,
49,Back Cover 70,239,32,7648,,,01-12-13,76,,94130,,1337940,,,,
50,,,,40328,,,01-18-13,,Cheq# 15864775 BAFL,,398040,939900,,,,
51,Upper Cover Window,370,40,14800,02-May-12,,01-22-13,,Cash Received,,200000,739900,,,,
52,Back Cover 70,347,32,11104,,,01-16-13,77,,75430,,815330,,,,
53,Housing 70 Black,882,9,7938,,,01-24-13,78,,118425,,933755,,,,
54,Dial Blank 70 ,1500,9,13500,,,01-28-13,79,,132442,,1066197,,,,
55,Dial Blank Qinque,500,12,6000,,,01-29-13,80,,37780,,1103977,,,,
56,Upper Cover Window,74,40,2960,,,02-04-13,81,,82050,,1186027,,,,
57,Back Cover 70,452,32,14464,,,02-09-13,82,,65694,,1251721,,,,
58,,,,70766,,,02-14-13,83,,60379,,1312100,,,,
59,Upper Cover Window,509,40,20360,05-May-12,,02-16-13,,Cheq# 10029809 BAHL,,500000,812100,,,,
60,Back Cover 70,528,32,16896,,,02-19-13,84,,68560,,880660,,,,
61,Housing 70 Black,108,9,972,,,02-20-13,85,,67140,,947800,,,,
62,,,,38228,,,02-22-13,86,,29372,,977172,,,,
1,Housing 70 Black,574,9,5166,08-May-12,,03-26-13,89,,60925,,973177,,,,
2,Dial Blank 70,1000,9,9000,,,03-28-13,,Cash Received,,200000,773177,,,,
3,back Cover 70,430,32,13760,,,03-29-13,90,,109330,,882507,,,,
4,Housing 70 Black,848,9,7632,,,03-30-13,91,,21150,,903657,,,,
5,,,,35558,,,04-01-13,92,,50240,,953897,,,,
6,dial blank 70,300,9,2700,11-May-12,,04-02-13,93,,43902,,997799,,,,
7,Upper Cover Window 70,530,40,21200,,,04-04-13,94,,33280,,1031079,,,,
8,Back cover 70,504,32,16128,,,04-06-13,95,,25200,,1056279,,,,
9,Housing 70 black,240,9,2160,,,04-10-13,96,,14236,,1070515,,,,
10,,,,42188,,,04-15-13,97,,28080,,1098595,,,,
11,Upper Cover Window 70,74,40,2960,15-May-12,,04-16-13,,Cheq# 0672758 HBL,,300000,798595,,,,
12,Upper Cover Window 70,605,40,24200,,,04-17-13,98,,36798,,835393,,,,
13,back Cover 70,335,32,10720,,,04-23-13,99,,109040,,944433,,,,
14,Housing 70 black,647,9,5823,,,04-25-13,100,,54879,,999312,,,,
15,,,,43703,,,04-29-13,101,,33092,,1032404,,,,
16,Back Cover 70,362,32,11584,22-May-12,,05-02-13,102,,32000,,1064404,,,,
17,Upper Cover Window,242,40,9680,,,05-04-13,103,,23468,,1087872,,,,
18,Back Cover 70,552,32,17664,,,05-06-13,104,,15440,,1103312,,,,
19,Housing 70 black,446,9,4014,,,05-07-13,105,,39670,,1142982,,,,
20,Upper Cover Window,120,40,4800,,,05-08-13,106,,29960,,1172942,,,,
21,Upper Cover Window,314,40,12560,,,05-13-13,107,,81026,,1253968,,,,
22,Back Cover 70,415,32,13280,,,05-13-13,108,,59440,,1313408,,,,
23,Housing 70 black,439,9,3951,,,04-09-13,,Cheque Received,,200000,1113408,,,,
24,,,,77533,,,05-17-13,,Cheq# 0850020 HBL,,100000,1013408,,,,
25,Dial Blank 70,1000,9,9000,05-25-12,,05-17-13,109,,32836,,1046244,,,,
26,Upper Cover window,446,40,17840,,,05-21-13,110,,26980,,1073224,,,,
27,Back Cover 70,461,32,14752,,,05-22-13,111,,50616,,1123840,,,,
28,Housing 70 ,626,9,5634,,,05-24-13,112,,35048,,1158888,,,,
29,,,,47226,,,05-27-13,113,,17580,,1176468,,,,
30,Upper Cover Hi speed,296,40,11840,05-28-12,,05-29-13,,Cheq# 0850028 HBL,,300000,876468,,,,
31,Back Cover 70,408,32,13056,,,05-28-13,114,,24000,,900468,,,,
32,Housing 70 ,326,9,2934,,,05-29-13,115,,37830,,938298,,,,
33,,,,27830,,,05-30-13,116,,34320,,972618,,,,
34,Back Cover 70,519,32,16608,06-01-12,,05-31-13,117,,53300,,1025918,,,,
35,Housing 70,577,9,5193,,,06-01-13,118,,45220,,1071138,,,,
36,Meter Wire,545,24,13080,,,06-03-13,119,,46680,,1117818,,,,
37,,,,34881,,,06-03-13,120,,24000,,1141818,,,,
38,Upper Cover Window,344,40,13760,06-02-12,,06-04-13,121,,29940,,1171758,,,,
39,Back Cover 70,309,32,9888,,,06-05-13,122,,46520,,1218278,,,,
40,Upper Cover Qinque 100cc,306,45,13770,,,06-06-13,123,,44960,,1263238,,,,
41,Back Cover Qinque,300,20,6000,,,06-07-13,124,,30160,,1293398,,,,
42,Housing Qinque,320,35,11200,,,06-10-13,125,,39320,,1332718,,,,
43,Nest Qinque,330,20,6600,,,06-11-13,126,,39316,,1372034,,,,
44,,,,61218,,,06-12-13,127,,49380,,1421414,,,,
45,Upper Cover 70,74,40,2960,07-Jun,,06-13-13,128,,41220,,1462634,,,,
46,Dial Blank 70,600,9,5400,,,06-15-13,129,,26640,,1489274,,,,
47,Upper Cover Window,368,40,14720,,,06-17-13,130,,36900,,1526174,,,,
48,Back Cover 70,465,32,14880,,,06-19-13,,Cheq# 0850064 HBL,,400000,1126174,,,,
49,Housing 70 ,433,9,3897,,,06-19-13,131,,41152,,1167326,,,,
50,Upper Cover Window,146,40,5840,,,06-20-13,132,,66002,,1233328,,,,
51,Upper Cover Window,168,40,6720,,,06-24-13,133,,24800,,1258128,,,,
52,Back Cover 70,444,32,14208,,,06-25-13,134,,32960,,1291088,,,,
53,Housing 70 ,230,9,2070,,,06-29-13,135,,16862,,1307950,,,,
54,,,,70695,,,07-01-13,136,,57496,,1365446,,,,
55,Back Cover 70,779,32,24928,09-Jun-12,,07-04-13,,Cheq# 0850076 HBL,,200000,1165446,,,,
56,Housing 70,579,9,5211,,,07-03-13,137,,62170,,1227616,,,,
57,Meter Wire,800,24,19200,,,07-04-13,138,,16390,,1244006,,,,
58,,,,49339,,,07-05-13,139,,53014,,1297020,,,,
59,Upper Cover Window,454,40,18160,06-11-12,,07-06-13,140,,15480,,1312500,,,,
60,Back Cover 70,510,32,16320,,,07-09-13,141,,52790,,1365290,,,,
61,Housing 70,496,9,4464,,,07-10-13,142,,55760,,1421050,,,,
62,,,,38944,,,07-11-13,143,,65524,,1486574,,,,
1,Dial Blank 70,700,9,6300,14-Jun-12,,07-17-13,147,,40160,,1020282,,,,
2,Upper Cover Window,240,40,9600,,,07-19-13,148,,48238,,1068520,,,,
3,Upper Cover Hi speed,370,40,14800,,,07-22-13,149,,58580,,1127100,,,,
4,Upper Cover Window,222,40,8880,,,07-26-13,150,,67130,,1194230,,,,
5,Back Cover 70,338,32,10816,,,07-27-13,151,,64655,,1258885,,,,
6,Housing 70 blue,156,9,1404,,,07-29-13,152,,53836,,1312721,,,,
7,Housing 70 Black,156,9,1404,,,07-30-13,153,,26000,,1338721,,,,
8,,,,53204,,,07-31-13,154,,33560,,1372281,,,,
9,Dial Blank 70,500,9,4500,06-18-12,,08-01-13,155,,49392,,1421673,,,,
10,Upper Cover Window,222,40,8880,,,08-03-13,156,,37570,,1459243,,,,
11,Back Cover 70,420,32,13440,,,08-04-13,157,,63495,,1522738,,,,
12,Housing 70 Black,416,9,3744,,,08-05-13,158,,36864,,1559602,,,,
13,,,,30564,,,08-06-13,159,,44942,,1604544,,,,
14,Upper Cover Window,173,40,6920,06-21-12,,08-15-13,160,,23080,,1627624,,,,
15,Upper Cover 70 new,148,40,5920,,,08-16-13,161,,66520,,1694144,,,,
16,Upper Cover Window,452,40,18080,,,08-17-13,162,,46820,,1740964,,,,
17,Housing 70 ,452,9,4068,,,08-19-13,163,,60258,,1801222,,,,
18,,,,34988,,,06-01-13,,June month discount,,23620,1777602,,,,
19,Dial Blank 70,2700,9,24300,02-Jul-12,,07-01-13,,July month discount,,32384,1745218,,,,
20,Upper Cover 70 Window,388,40,15520,,,08-20-13,164,,63536,,1808754,,,,
21,upper Cover Qinque 100cc,360,45,16200,,,08-20-13,,Cheque Received,,550000,1258754,,,,
22,Back cover Qinque,500,20,10000,,,08-22-13,,Cheque received,,150000,1108754,,,,
23,nest Qinque,500,20,10000,,,08-28-13,165,,102005,,1210759,,,,
24,Housing qinque,273,35,9555,,,08-30-13,166,,49032,,1259791,,,,
25,,,,85575,,,09-02-13,167,,75512,,1335303,,,,
26,Upper Cover 70 Window,462,40,18480,07-05-12,,09-05-13,168,,84444,,1419747,,,,
27,Back Cover 70,444,32,14208,,,09-06-13,169,,48640,,1468387,,,,
28,Housing 70 ,403,9,3627,,,09-07-13,170,,58220,,1526607,,,,
29,Upper Cover 70 New,92,40,3680,,,09-09-13,171,,46882,,1573489,,,,
30,Upper Cover qinque 100cc,140,45,6300,,,09-10-13,172,,19764,,1593253,,,,
31,,,,46295,,,09-13-13,173,,25596,,1618849,,,,
32,Upper Cover 70,296,40,11840,09-Jul-12,,09-16-13,174,,52364,,1671213,,,,
33,Upper Cover Window,480,40,19200,,,09-17-13,175,,44154,,1715367,,,,
34,Back Cover 70,543,32,17376,,,09-18-13,,Cheque received,,700000,1015367,,,,
35,Housing 70,411,9,3699,,,09-19-13,176,,24120,,1039487,,,,
36,,,,52115,,,09-20-13,177,,40776,,1080263,,,,
37,Back Cover 70,627,32,20064,07-11-12,,09-21-13,178,,24740,,1105003,,,,
38,Housing 70,545,9,4905,,,09-23-13,179,,59232,,1164235,,,,
39,,,,24969,,,09-24-13,180,,71040,,1235275,,,,
40,Dial Blank 70,500,9,4500,07-14-12,,10-01-13,181,,79676,,1314951,,,,
41,Upper Cover Window,388,40,15520,,,10-03-13,182,,72432,,1387383,,,,
42,Housing 70,527,9,4743,,,10-04-13,183,,63738,,1451121,,,,
43,,,,24763,,,10-07-13,184,,36720,,1487841,,,,
44,Dial Blank Qinque,200,12,2400,07-19-12,,10-08-13,185,,48460,,1536301,,,,
45,Upper Cover Window,296,40,11840,,,10-10-13,186,,60729,,1597030,,,,
46,Cover Set Sohrab Js,100,120,12000,,,10-11-13,187,,52416,,1649446,,,,
47,,,,26240,,,10-11-13,,Cheque Received,,325000,1324446,,,,
48,Dial Blank Sohrab js,100,12,1200,07-21-12,,10-12-13,188,,33576,,1358022,,,,
49,Back Cover 70,469,32,15008,,,10-14-13,189,,29304,,1387326,,,,
50,Housing 70 Black,429,9,3861,,,10-23-13,190,,38430,,1425756,,,,
51,,,,20069,,,10-23-13,191,,16000,,1441756,,,,
52,Upper Cover Window,75,40,3000,08-01-12,,10-24-13,192,,35148,,1476904,,,,
53,Upper Cover Window,298,40,11920,,,10-25-13,193,,101060,,1577964,,,,
54,Back Cover 70,527,32,16864,,,10-29-13,,Cheq# 1127846 HBL,,325000,1252964,,,,
55,Housing 70 Black,553,9,4977,,,10-28-13,194,,63596,,1316560,,,,
56,,,,36761,,,10-30-13,195,,74756,,1391316,,,,
57,Upper Cover 70 New,611,40,24440,08-03-12,,11-02-13,196,,67990,,1459306,,,,
58,Back Cover 70,487,32,15584,,,10-31-13,197,,6000,,1465306,,,,
59,Housing Qinque,449,35,15715,,,11-05-13,198,,82762,,1548068,,,,
60,Nest Qinque,200,20,4000,,,11-07-13,199,,37962,,1586030,,,,
61,,,,59739,,,11-09-13,200,,54028,,1640058,,,,
62,Dial Blank 70,1000,9,9000,08-06-12,,11-11-13,201,,39454,,1679512,,,,
63,Dial Blank Qinque,500,12,6000,,,11-18-13,202,,43812,,1723324,,,,
64,Upper Cover Qinque 100cc,496,45,22320,,,11-19-13,,cheque Received HBL,,775000,948324,,,,
65,Back cover Qinque,505,20,10100,,,11-20-13,203,,67812,,1016136,,,,
66,Nest Qinque,300,20,6000,,,11-22-13,204,,35360,,1051496,,,,
67,,,,53420,,,11-23-13,205,,37892,,1089388,,,,
68,Upper Cover70 New,355,40,14200,08-07-12,,11-25-13,206,,64780,,1154168,,,,
69,Upper Cover Unique,252,40,10080,,,11-28-13,207,,87220,,1241388,,,,
70,Upper Cover Zxmco,220,40,8800,,,11-29-13,208,,91406,,1332794,,,,
71,Back Cover 70,679,32,21728,,,12-02-13,209,,65877,,1398671,,,,
72,Housing 70 Black,699,9,6291,,,12-04-13,210,,29668,,1428339,,,,
73,,,,61099,,,12-05-13,211,,28850,,1457189,,,,
74,Back Cover 70,327,32,10464,08-08-12,,12-06-13,212,,45574,,1502763,,,,
75,Housing 70,496,9,4464,,,12-09-13,213,,49848,,1552611,,,,
76,,,,14928,,,12-11-13,214,,69798,,1622409,,,,
77,Upper Cover Unique,258,40,10320,08-11-12,,12-13-13,,Cheq# 1213959 HBL,,400000,1222409,,,,
78,Upper Cover Window,222,40,8880,,,12-23-13,,Cheq# 1213960 Hbl,,300000,922409,,,,
79,Back Cover 70,523,32,16736,,,12-13-13,215,,79308,,1001717,,,,
80,Housing 70 Black,507,9,4563,,,12-20-13,216,,55806,,1057523,,,,
81,,,,40499,,,12-24-13,217,,40572,,1098095,,,,
82,Dial Blank 70,1000,9,9000,08-28-12,,12-26-13,218,,111910,,1210005,,,,
83,Upper Cover Window,157,40,6280,,,12-30-13,219,,126448,,1336453,,,,
84,Upper Cover Window,148,40,5920,,,01-01-14,220,,33016,,1369469,,,,
85,Upper Cover Unique,84,40,3360,,,01-03-14,221,,56376,,1425845,,,,
86,Upper Cover Window,74,40,2960,,,01-07-14,222,,68380,,1494225,,,,
