Sr.,Particulars,Qty,Rate,Total,Date,,,,,,,,,,,
1248,Hosing 70Black,636,8,5088,,,,,,,,,,,,
1249,,,,34914,,,,,,,,,,,,
1250,Upper Cover Window,532,36,19152,09-07-14,,,,,,,,,,,
1251,Back Cover 70,703,30,21090,,,,,,,,,,,,
1252,Hosing 70Black,756,8,6048,,,,,,,,,,,,
1253,,,,46290,,,,,,,,,,,,
1254,Upper Cover  window,811,36,29196,10-07-14,,,,,,,,,,,
1255,Back Cover 70,794,30,23820,,,,,,,,,,,,
1256,Hosing 70Black,561,8,4488,,,,,,,,,,,,
1257,dial Blank qinque,1000,12,12000,,,,,,,,,,,,
1258,,,,69504,,,,,,,,,,,,
1259,upper Cover  uNIQUI,94,36,3384,17-07-14,,,,,,,,,,,
1260,Upper Cover  window,1069,36,38484,,,,,,,,,,,,
1261,Back Cover 70,958,30,28740,,,,,,,,,,,,
1262,Hosing 70Black,341,8,2728,,,,,,,,,,,,
1263,,,,73336,,,,,,,,,,,,
1264,upper Cover  zxmco,1496,36,53856,18-07-14,,,,,,,,,,,
1265,Back Cover 70,506,30,15180,,,,,,,,,,,,
1266,Hosing 70Black,853,8,6824,,,,,,,,,,,,
1267,,,,75860,,,,,,,,,,,,
1268,upper Cover  uNIQUI,94,36,3384,21-07-14,,,,,,,,,,,
1269,Upper Cover  window,1012,36,36432,27-07-14,,,,,,,,,,,
1270,Back Cover 70,1113,30,33390,,,,,,,,,,,,
1271,Hosing 70Black,1032,8,8256,,,,,,,,,,,,
1272,,,,78078,,,,,,,,,,,,
1273,Upper Cover  window,1051,36,37836,06-08-14,,,,,,,,,,,
1274,Back Cover 70,1010,30,30300,,,,,,,,,,,,
1275,Hosing 70Black,1016,8,8128,,,,,,,,,,,,
1276,,,,76264,,,,,,,,,,,,
1277,Upper Cover  Qinque,396,45,17820,09-08-14,,,,,,,,,,,
1278,Back Cover qinque,1000,20,20000,,,,,,,,,,,,
1279,Hosing qinque,558,35,19530,,,,,,,,,,,,
1280,Nest Qinque,1000,20,20000,,,,,,,,,,,,
1281,Upper Cover  window,188,36,6768,,,,,,,,,,,,
1282,Back Cover 70,538,30,16140,,,,,,,,,,,,
1283,upper Cover  uNIQUI,282,36,10152,,,,,,,,,,,,
1284,,,,110410,,,,,,,,,,,,
1285,Upper Cover  window,520,36,18720,12-08-14,,,,,,,,,,,
1286,Back Cover 70,863,30,25890,,,,,,,,,,,,
1287,Hosing 70Black,1575,8,12600,,,,,,,,,,,,
1288,upper Cover  Qinque,180,45,8100,,,,,,,,,,,,
1289,,,,65310,,,,,,,,,,,,
1290,dial Blank qinque,1000,12,12000,12-08-14,,,,,,,,,,,
1291,Upper Cover  window,1567,36,56412,13-08-14,,,,,,,,,,,
1292,Back Cover 70,220,30,6600,,,,,,,,,,,,
1293,Hosing 70Black,504,8,4032,,,,,,,,,,,,
1294,upper Cover  Qinque,430,45,19350,,,,,,,,,,,,
1295,,,,86394,,,,,,,,,,,,
1296,Upper Cover  window,797,36,28692,15-08-14,,,,,,,,,,,
1297,Back Cover 70,522,30,15660,,,,,,,,,,,,
1298,Hosing 70Black,312,8,2496,,,,,,,,,,,,
1299,hosing qinque,528,35,18480,,,,,,,,,,,,
1300,,,,65328,,,,,,,,,,,,
1301,Upper Cover  window,1038,36,37368,22-08-14,,,,,,,,,,,
1302,Back Cover 70,130,30,3900,,,,,,,,,,,,
1303,Hosing 70Black,1072,8,8576,,,,,,,,,,,,
1304,,,,49844,,,,,,,,,,,,
1305,Upper Cover  window,354,36,12744,23-08-14,,,,,,,,,,,
1306,Back Cover 70,470,30,14100,,,,,,,,,,,,
1307,,,,26844,,,,,,,,,,,,
1308,Upper Cover  window,637,36,22932,27-08-14,,,,,,,,,,,
1309,Back Cover 70,871,30,26130,,,,,,,,,,,,
1310,Hosing 70Black,873,8,6984,,,,,,,,,,,,
1311,,,,56046,,,,,,,,,,,,
1312,Upper Cover  window,647,36,23292,26-08-14,,,,,,,,,,,
1313,Back Cover 70,426,30,12780,,,,,,,,,,,,
1314,Hosing 70Black,156,8,1248,,,,,,,,,,,,
1315,,,,37320,,,,,,,,,,,,
1316,Upper Cover  window,647,36,23292,28-08-14,,,,,,,,,,,
1317,Back Cover 70,1047,30,31410,,,,,,,,,,,,
1318,Hosing 70Black,678,8,5424,,,,,,,,,,,,
1319,,,,60126,,,,,,,,,,,,
1320,dial Blank qinque,1000,12,12000,29-08-14,,,,,,,,,,,
1321,upper Cover  Qinque,320,45,14400,02-09-14,,,,,,,,,,,
1322,back Cover qinque,1500,20,30000,,,,,,,,,,,,
1323,hosing qinque,90,35,3150,,,,,,,,,,,,
1324,nest Qinque,710,20,14200,,,,,,,,,,,,
1325,,,,61750,,,,,,,,,,,,
1326,Upper Cover  window,710,36,25560,04-09-14,,,,,,,,,,,
1327,Back Cover 70,1638,30,49140,,,,,,,,,,,,
1328,hosing qinque,1520,35,53200,,,,,,,,,,,,
1329,,,,127900,,,,,,,,,,,,
1330,Upper Cover  window,331,36,11916,06-09-14,,,,,,,,,,,
1331,Back Cover 70,302,30,9060,,,,,,,,,,,,
1332,Hosing 70Black,1536,8,12288,,,,,,,,,,,,
1333,,,,33264,,,,,,,,,,,,
1334,Upper Cover  Qinque,415,45,18675,10-09-14,,,,,,,,,,,
1335,Nest Qinque,180,20,3600,,,,,,,,,,,,
1336,upper Cover  70,430,36,15480,,,,,,,,,,,,
1337,Back Cover 70,570,30,17100,,,,,,,,,,,,
1338,Hosing 70Black,1000,8,8000,,,,,,,,,,,,
1339,,,,62855,,,,,,,,,,,,
1340,Upper Cover  Qinque,300,45,13500,11-09-14,,,,,,,,,,,
1341,Nest Qinque,500,20,10000,,,,,,,,,,,,
1342,Back Cover 70,370,30,11100,,,,,,,,,,,,
1343,Hosing 70Black,360,8,2880,,,,,,,,,,,,
1344,,,,37480,,,,,,,,,,,,
1345,Upper Cover  window,658,36,23688,13-09-14,,,,,,,,,,,
1346,Upper Cover  window,255,36,9180,,,,,,,,,,,,
1347,Back Cover 70,200,30,6000,,,,,,,,,,,,
1348,Hoiusing 70,400,8,3200,,,,,,,,,,,,
1349,,,,42068,,,,,,,,,,,,
1350,Upper Cover  Qinque,500,45,22500,16-09-14,,,,,,,,,,,
1351,Back Cover 70,500,30,15000,,,,,,,,,,,,
1352,Hosing 70Black,670,8,5360,,,,,,,,,,,,
1353,,,,42860,,,,,,,,,,,,
1354,upper Cover  zxmco,1072,36,38592,17-09-14,,,,,,,,,,,
1355,Back Cover 70,730,30,21900,,,,,,,,,,,,
1356,Hosing 70Black,800,8,6400,,,,,,,,,,,,
1357,,,,66892,,,,,,,,,,,,
1358,Dial Blank Qinque,890,12,10680,18-09-14,,,,,,,,,,,
1359,Upper Cover Window,956,36,34416,29-09-14,,,,,,,,,,,
1360,Back Cover 70,300,30,9000,,,,,,,,,,,,
1361,Hosing 70Black,900,8,7200,,,,,,,,,,,,
1362,Upper Cover  Qinque,186,45,8370,,,,,,,,,,,,
1363,Back Cover Qinque,200,20,4000,,,,,,,,,,,,
1364,Nest Qinque,240,20,4800,,,,,,,,,,,,
1365,Hosing qinque,23,35,805,,,,,,,,,,,,
1366,,,,68591,,,,,,,,,,,,
1367,Upper Cover  Qinque,446,45,20070,01-10-14,,,,,,,,,,,
1368,Hosing qinque,500,35,17500,,,,,,,,,,,,
1369,Nest Qinque,500,20,10000,,,,,,,,,,,,
1370,upper Cover  window 70,500,35,17500,,,,,,,,,,,,
1371,Hosing 70Black,1000,8,8000,,,,,,,,,,,,
1372,,,,73070,,,,,,,,,,,,
1373,Upper Cover Window,323,35,11305,02-10-14,,,,,,,,,,,
1374,Back Cover 70,420,30,12600,,,,,,,,,,,,
1375,Hosing 70Black,460,8,3680,,,,,,,,,,,,
1376,,,,27585,,,,,,,,,,,,
1377,Upper Cover Window,177,35,6195,03-10-14,,,,,,,,,,,
1378,Back Cover 70,200,30,6000,,,,,,,,,,,,
1379,Hosing 70Black,510,8,4080,,,,,,,,,,,,
1380,upper Cover  zxmco,578,36,20808,,,,,,,,,,,,
1381,,,,37083,,,,,,,,,,,,
1382,Upper Cover Window,544,35,19040,09-10-14,,,,,,,,,,,
1383,Back Cover 70,980,30,29400,,,,,,,,,,,,
1384,Hosing 70Black,1136,8,9088,,,,,,,,,,,,
1385,,,,57528,,,,,,,,,,,,
1386,Upper Cover  Qinque,166,45,7470,10-10-14,,,,,,,,,,,
1387,Upper Cover Window,300,35,10500,,,,,,,,,,,,
1388,Back Cover 70,640,30,19200,,,,,,,,,,,,
1389,Hosing 70Black,632,8,5056,,,,,,,,,,,,
1390,,,,42226,,,,,,,,,,,,
1391,Upper Cover  Qinque,726,45,32670,14-10-14,,,,,,,,,,,
1392,Hosing qinque,480,35,16800,,,,,,,,,,,,
1393,Nest Qinque,600,20,12000,,,,,,,,,,,,
1394,back  cover qinque,500,20,10000,,,,,,,,,,,,
1395,,,,71470,,,,,,,,,,,,
1396,Upper Cover  window,909,35,31815,15-10-14,,,,,,,,,,,
1397,Back Cover 70,280,30,8400,,,,,,,,,,,,
1398,Hosing 70Black,865,8,6920,,,,,,,,,,,,
1399,,,,47135,,,,,,,,,,,,
1400,Dial Blank Qinque,2700,12,32400,18-10-14,,,,,,,,,,,
1401,Upper Cover  window,535,35,18725,,,,,,,,,,,,
1402,Upper Cover  window,737,35,25795,,,,,,,,,,,,
1403,Hosing qinque,534,35,18690,,,,,,,,,,,,
1404,Back Cover Qinque,500,20,10000,,,,,,,,,,,,
1405,Nest Qinque,520,20,10400,,,,,,,,,,,,
1406,Hosing 70Black,780,8,6240,,,,,,,,,,,,
1407,,,,122250,,,,,,,,,,,,
1408,Dial Blank Qinque,400,12,4800,16-10-14,,,,,,,,,,,
1409,Upper Cover  window,546,35,19110,,,,,,,,,,,,
1410,Back Cover 70,585,30,17550,,,,,,,,,,,,
1411,Hosing 70Black,500,8,4000,,,,,,,,,,,,
1412,Upper Cover  Qinque,300,45,13500,,,,,,,,,,,,
1413,Hosing qinque,110,35,3850,,,,,,,,,,,,
1414,Back Cover Qinque,300,20,6000,,,,,,,,,,,,
1415,Nest Qinque,400,20,8000,,,,,,,,,,,,
1416,,,,76810,,,,,,,,,,,,
1417,Upper Cover  Qinque,484,45,21780,20-10-14,,,,,,,,,,,
1418,Upper Cover  window,535,35,18725,,,,,,,,,,,,
1419,Hosing 70Black,486,8,3888,,,,,,,,,,,,
1420,,,,44393,,,,,,,,,,,,
1421,Upper Cover  window,969,35,33915,21-10-14,,,,,,,,,,,
1422,Back Cover 70,532,30,15960,,,,,,,,,,,,
1423,Hosing 70Black,300,8,2400,,,,,,,,,,,,
1424,,,,52275,,,,,,,,,,,,
1425,Upper Cover  Qinque,466,45,20970,22-10-14,,,,,,,,,,,
1426,Back Cover Qinque,140,20,2800,,,,,,,,,,,,
1427,,,,23770,,,,,,,,,,,,
1428,Back Cover 70,1063,30,31890,27-10-14,,,,,,,,,,,
1429,Back Cover 70,657,30,19710,23-10-14,,,,,,,,,,,
1430,Back Cover qinque,330,20,6600,30-10-14,,,,,,,,,,,
1431,upper Cover  Qinque,520,45,23400,31-10-14,,,,,,,,,,,
1432,upper Cover  Qinque   cd,516,45,23220,,,,,,,,,,,,
1433,hosing qinque,915,35,32025,,,,,,,,,,,,
1434,nest Qinque,510,20,10200,,,,,,,,,,,,
1435,back Cover qinque,200,20,4000,,,,,,,,,,,,
1436,,,,92845,,,,,,,,,,,,
1437,Back Cover 70,306,30,9180,01-11-14,,,,,,,,,,,
1438,Hosing 70Black,730,8,5840,,,,,,,,,,,,
1439,,,,15020,,,,,,,,,,,,
1440,Back Cover 70,990,30,29700,05-11-14,,,,,,,,,,,
1441,Upper Cover  window,194,36,6984,,,,,,,,,,,,
1442,Back Cover 70,196,30,5880,,,,,,,,,,,,
1443,Hosing 70Black,470,8,3760,,,,,,,,,,,,
1444,,,,46324,,,,,,,,,,,,
1445,Upper Cover  window,177,35,6195,06-11-14,,,,,,,,,,,
1446,Back Cover 70,830,30,24900,,,,,,,,,,,,
1447,Hosing 70Black,303,8,2424,,,,,,,,,,,,
1448,,,,33519,,,,,,,,,,,,
1449,Upper Cover  window,806,35,28210,07-11-14,,,,,,,,,,,
1450,Back Cover 70,804,30,24120,,,,,,,,,,,,
1451,Hosing 70Black,283,8,2264,,,,,,,,,,,,
1452,,,,54594,,,,,,,,,,,,
1453,Upper Cover  window,282,35,9870,08-11-14,,,,,,,,,,,
1454,Back Cover 70,222,30,6660,,,,,,,,,,,,
1455,Hosing 70Black,1080,8,8640,,,,,,,,,,,,
1456,Upper Cover  window,600,35,21000,,,,,,,,,,,,
1457,Back Cover qinque,1050,20,21000,,,,,,,,,,,,
1458,,,,67170,,,,,,,,,,,,
1459,dial Blank qinque,1640,12,19680,11-10-14,,,,,,,,,,,
1460,Upper Cover  window,148,35,5180,,,,,,,,,,,,
1461,Back Cover 70,769,30,23070,,,,,,,,,,,,
1462,Hosing 70Black,1080,8,8640,,,,,,,,,,,,
1463,,,,56570,,,,,,,,,,,,
1464,Upper Cover  window,681,35,23835,11-11-14,,,,,,,,,,,
1465,Back Cover 70,330,30,9900,,,,,,,,,,,,
1466,Hosing 70Black,312,8,2496,,,,,,,,,,,,
1467,,,,36231,,,,,,,,,,,,
1468,Upper Cover Window,356,35,12460,13-11-14,,,,,,,,,,,
1469,Hosing 70Black,576,8,4608,,,,,,,,,,,,
1470,hosing qinque,330,35,11550,,,,,,,,,,,,
1471,nest Qinque,538,20,10760,,,,,,,,,,,,
1472,,,,39378,,,,,,,,,,,,
1473,upper Cover  Qinque,493,45,22185,15-11-14,,,,,,,,,,,
1474,Back Cover qinque,531,20,10620,,,,,,,,,,,,
1475,nest Qinque,480,20,9600,,,,,,,,,,,,
1476,Back Cover 70,528,30,15840,,,,,,,,,,,,
1477,Hosing 70Black,264,8,2112,,,,,,,,,,,,
1478,,,,60357,,,,,,,,,,,,
1479,Back Cover 70,339,30,10170,17-11-14,,,,,,,,,,,
1480,back Cover qinque,500,20,10000,,,,,,,,,,,,
1481,nest Qinque,500,20,10000,,,,,,,,,,,,
1482,,,,30170,,,,,,,,,,,,
1483,Upper Cover  window,490,35,17150,18-11-14,,,,,,,,,,,
1484,Back Cover 70,494,30,14820,,,,,,,,,,,,
1485,Hosing 70Black,612,8,4896,,,,,,,,,,,,
1486,,,,36866,,,,,,,,,,,,
1487,Upper Cover  window,1033,35,36155,18-11-14,,,,,,,,,,,
1488,Back Cover 70,605,30,18150,,,,,,,,,,,,
1489,Hosing 70Black,420,8,3360,,,,,,,,,,,,
1490,upper Cover  Qinque,258,45,11610,,,,,,,,,,,,
1491,hosing qinque,512,35,17920,,,,,,,,,,,,
1492,,,,87195,,,,,,,,,,,,
1493,dial Blank qinque,2000,12,24000,22-11-14,,,,,,,,,,,
1494,Upper Cover  window,596,35,20860,,,,,,,,,,,,
1495,Back Cover 70,579,30,17370,,,,,,,,,,,,
1496,Hosing 70Black,591,8,4728,,,,,,,,,,,,
1497,Back Cover 70,872,30,26160,25-11-14,,,,,,,,,,,
1498,upper Cover  Qinque,432,45,19440,28-11-14,,,,,,,,,,,
1499,Hosing qinque,1006,35,35210,,,,,,,,,,,,
1500,Back Cover qinque,1000,20,20000,,,,,,,,,,,,
1501,nest Qinque,1000,20,20000,,,,,,,,,,,,
1502,Hosing 70Black,392,8,3136,,,,,,,,,,,,
1503,,,,97786,,,,,,,,,,,,
1504,Upper Cover  window,363,35,12705,01-12-14,,,,,,,,,,,
1505,Back Cover 70,315,30,9450,,,,,,,,,,,,
1506,Hosing 70Black,425,8,3400,,,,,,,,,,,,
1507,,,,25555,,,,,,,,,,,,
1508,Upper Cover  window,618,35,21630,02-12-14,,,,,,,,,,,
1509,Back Cover 70,555,30,16650,,,,,,,,,,,,
1510,Hosing 70Black,360,8,2880,,,,,,,,,,,,
1511,,,,41160,,,,,,,,,,,,
1512,Upper Cover  window,358,35,12530,03-12-14,,,,,,,,,,,
1513,Back Cover 70,477,30,14310,,,,,,,,,,,,
1514,hosing qinque,1001,35,35035,,,,,,,,,,,,
1515,nest Qinque,810,20,16200,,,,,,,,,,,,
1516,back Cover qinque,1000,20,20000,,,,,,,,,,,,
1517,,,,98075,,,,,,,,,,,,
1518,Upper Cover  window,188,35,6580,04-12-14,,,,,,,,,,,
1519,Back Cover 70,543,30,16290,,,,,,,,,,,,
1520,Hosing 70Black,155,8,1240,,,,,,,,,,,,
1521,,,,24110,,,,,,,,,,,,
1522,Upper Cover  window,697,35,24395,05-12-14,,,,,,,,,,,
1523,Back Cover 70,528,30,15840,,,,,,,,,,,,
1524,Hosing 70Black,720,8,5760,,,,,,,,,,,,
1525,,,,45995,,,,,,,,,,,,
1526,upper Cover  Qinque,726,45,32670,06-12-14,,,,,,,,,,,
1527,upper Cover  Qinque,143,45,6435,06-12-14,,,,,,,,,,,
1528,upper Cover  Qinque,209,45,9405,08-12-14,,,,,,,,,,,
1529,Upper Cover  window,741,35,25935,,,,,,,,,,,,
1530,Back Cover 70,701,30,21030,,,,,,,,,,,,
1531,Hosing 70Black,1004,8,8032,,,,,,,,,,,,
1532,,,,64402,,,,,,,,,,,,
1533,upper Cover  Qinque,1067,45,48015,11-12-14,,,,,,,,,,,
1534,Upper Cover  window,177,35,6195,,,,,,,,,,,,
1535,Back Cover 70,444,30,13320,,,,,,,,,,,,
1536,Hosing 70Black,615,8,4920,,,,,,,,,,,,
1537,,,,72450,,,,,,,,,,,,
1538,Upper Cover  window,366,35,12810,12-12-14,,,,,,,,,,,
1539,Back Cover 70,648,30,19440,,,,,,,,,,,,
1540,Hosing 70Black,510,8,4080,,,,,,,,,,,,
1541,,,,36330,,,,,,,,,,,,
1542,Upper Cover  window,499,35,17465,15-12-14,,,,,,,,,,,
1543,Back Cover 70,977,30,29310,,,,,,,,,,,,
1544,,,,46775,,,,,,,,,,,,
1545,upper Cover  Qinque,300,45,13500,16-12-14,,,,,,,,,,,
1546,Upper Cover  window,762,35,26670,,,,,,,,,,,,
1547,Hosing 70Black,935,8,7480,,,,,,,,,,,,
1548,,,,47650,,,,,,,,,,,,
1549,Back Cover Qinque,970,20,19400,18-12-14,,,,,,,,,,,
1550,Nest Qinque,1060,20,21200,,,,,,,,,,,,
1551,,,,40600,,,,,,,,,,,,
1552,Upper Cover  window,83,35,2905,20-12-14,,,,,,,,,,,
1553,Back Cover 70,750,30,22500,,,,,,,,,,,,
1554,Hosing 70Black,667,8,5336,,,,,,,,,,,,
1555,Upper Cover  window,679,35,23765,,,,,,,,,,,,
1556,,,,54506,,,,,,,,,,,,
1557,Dial Blank qinque,2000,12,24000,23-12-14,,,,,,,,,,,
1558,Upper Cover  window,749,35,26215,,,,,,,,,,,,
1559,Back Cover 70,749,30,22470,,,,,,,,,,,,
1560,,,,72685,,,,,,,,,,,,
1561,Upper Cover  window,274,35,9590,24-12-14,,,,,,,,,,,
1562,Back Cover 70,747,30,22410,,,,,,,,,,,,
1563,Hosing 70Black,234,8,1872,,,,,,,,,,,,
1564,,,,33872,,,,,,,,,,,,
1565,Upper Cover  window,148,35,5180,26-12-14,,,,,,,,,,,
1566,Back Cover 70,520,30,15600,,,,,,,,,,,,
1567,Hoiusing 70,496,8,3968,,,,,,,,,,,,
1568,,,,24748,,,,,,,,,,,,
1569,Back Cover 70,1010,30,30300,29-12-14,,,,,,,,,,,
1570,Hoiusing 70,760,8,6080,,,,,,,,,,,,
1571,,,,36380,,,,,,,,,,,,
1572,Hosing qinque,541,35,18935,29-12-14,,,,,,,,,,,
1573,Back Cover qinque,1000,20,20000,,,,,,,,,,,,
1574,Nest Qinque,2020,20,40400,,,,,,,,,,,,
1575,,,,79335,,,,,,,,,,,,
1576,upper Cover  Qinque,410,45,18450,30-12-14,,,,,,,,,,,
1577,Upper Cover  window,168,35,5880,,,,,,,,,,,,
1578,Back Cover 70,358,30,10740,,,,,,,,,,,,
1579,,,,35070,,,,,,,,,,,,
1580,upper Cover  Qinque,706,45,31770,31-12-14,,,,,,,,,,,
1581,Back Cover qinque,1550,20,31000,,,,,,,,,,,,
1582,hosing qinque,757,35,26495,,,,,,,,,,,,
1583,Upper Cover  window,466,35,16310,,,,,,,,,,,,
1584,Back Cover 70,342,30,10260,,,,,,,,,,,,
1585,,,,115835,,,,,,,,,,,,
1586,Upper Cover  window,434,35,15190,02-01-15,,,,,,,,,,,
1587,Hosing 70Black,1068,8,8544,,,,,,,,,,,,
1588,Hosing Qinque,492,35,17220,,,,,,,,,,,,
1589,Nest Qinque,1620,20,32400,,,,,,,,,,,,
1590,Back Cover 70,400,30,12000,,,,,,,,,,,,
1591,,,,85354,,,,,,,,,,,,
1592,Upper Cover  window,564,35,19740,03-01-15,,,,,,,,,,,
1593,Hosing 70Black,590,8,4720,,,,,,,,,,,,
1594,hosing qinque,522,35,18270,,,,,,,,,,,,
1595,,,,42730,,,,,,,,,,,,
1596,Upper Cover Window,450,35,15750,05-01-15,,,,,,,,,,,
1597,Back Cover 70,564,30,16920,,,,,,,,,,,,
1598,Hosing 70Black,654,8,5232,,,,,,,,,,,,
1599,,,,37902,,,,,,,,,,,,
1600,Upper Cover Window,531,35,18585,07-01-15,,,,,,,,,,,
1601,Back Cover 70,813,30,24390,,,,,,,,,,,,
1602,Hosing 70Black,705,8,5640,,,,,,,,,,,,
1603,,,,48615,,,,,,,,,,,,
1604,Upper Cover  window,1062,35,37170,09-01-15,,,,,,,,,,,
1605,Back Cover 70,717,30,21510,,,,,,,,,,,,
1606,Hosing 70Black,750,8,6000,,,,,,,,,,,,
1607,,,,64680,,,,,,,,,,,,
1608,Hoiusing qinque,411,35,14385,12-01-15,,,,,,,,,,,
1609,dial Blank qinque,1640,12,19680,13-01-15,,,,,,,,,,,
1610,upper Cover  Qinque 125,230,45,10350,,,,,,,,,,,,
1611,upper Cover  Qinque 125,200,45,9000,,,,,,,,,,,,
1612,,,,39030,,,,,,,,,,,,
1613,Upper Cover  window,448,35,15680,14-01-15,,,,,,,,,,,
1614,upper Cover  Qinque 125,300,45,13500,,,,,,,,,,,,
1615,Back Cover 70,741,30,22230,,,,,,,,,,,,
1616,Hosing 70Black,985,8,7880,,,,,,,,,,,,
1617,,,,59290,,,,,,,,,,,,
1618,Dial Blank qinque,3000,12,36000,15-01-15,,,,,,,,,,,
1619,upper Cover  Qinque 125,270,45,12150,15-01-15,,,,,,,,,,,
1620,Upper Cover Window,188,35,6580,,,,,,,,,,,,
1621,Back Cover 70,222,30,6660,,,,,,,,,,,,
1622,Hosing 70Black,375,8,3000,,,,,,,,,,,,
1623,,,,28390,,,,,,,,,,,,
1624,Upper Cover  window,459,35,16065,17-01-15,,,,,,,,,,,
1625,Back Cover 70,750,30,22500,,,,,,,,,,,,
1626,Hosing 70Black,835,8,6680,,,,,,,,,,,,
1627,Upper Cover Window,265,35,9275,,,,,,,,,,,,
1628,Back Cover 70,410,30,12300,,,,,,,,,,,,
1629,Hosing 70Black,327,8,2616,,,,,,,,,,,,
1630,,,,69436,,,,,,,,,,,,
1631,Upper Cover Window,269,35,9415,19-01-15,,,,,,,,,,,
1632,Back Cover 70,408,30,12240,,,,,,,,,,,,
1633,,,,21655,,,,,,,,,,,,
1634,upper Cover  Qinque,660,45,29700,22-01-15,,,,,,,,,,,
1635,hosing qinque,256,35,8960,,,,,,,,,,,,
1636,Upper Cover  window,203,35,7105,,,,,,,,,,,,
1637,,,,45765,,,,,,,,,,,,
1638,Upper Cover  window,220,35,7700,23-01-15,,,,,,,,,,,
1639,,,,0,,,,,,,,,,,,
1640,,,,0,,,,,,,,,,,,
1641,,,,0,,,,,,,,,,,,
1642,,,,0,,,,,,,,,,,,
1643,,,,0,,,,,,,,,,,,
1644,,,,0,,,,,,,,,,,,
1645,,,,0,,,,,,,,,,,,
1646,,,,0,,,,,,,,,,,,
1647,,,,0,,,,,,,,,,,,
1648,,,,0,,,,,,,,,,,,
1649,,,,0,,,,,,,,,,,,
1650,,,,0,,,,,,,,,,,,
1651,,,,0,,,,,,,,,,,,
1652,,,,0,,,,,,,,,,,,
1653,,,,0,,,,,,,,,,,,
1654,,,,0,,,,,,,,,,,,
1655,,,,0,,,,,,,,,,,,
1656,,,,0,,,,,,,,,,,,
1657,,,,0,,,,,,,,,,,,
1658,,,,0,,,,,,,,,,,,
1659,,,,0,,,,,,,,,,,,
1660,,,,0,,,,,,,,,,,,
1661,,,,0,,,,,,,,,,,,
1662,,,,0,,,,,,,,,,,,
1663,,,,0,,,,,,,,,,,,
1664,,,,0,,,,,,,,,,,,
1665,,,,0,,,,,,,,,,,,
1666,,,,0,,,,,,,,,,,,
1667,,,,0,,,,,,,,,,,,
1668,,,,0,,,,,,,,,,,,
1669,,,,0,,,,,,,,,,,,
1670,,,,0,,,,,,,,,,,,
1671,,,,0,,,,,,,,,,,,
1672,,,,0,,,,,,,,,,,,
1673,,,,0,,,,,,,,,,,,
1674,,,,0,,,,,,,,,,,,
1675,,,,0,,,,,,,,,,,,
1676,,,,0,,,,,,,,,,,,
1677,,,,0,,,,,,,,,,,,
1678,,,,0,,,,,,,,,,,,
1679,,,,0,,,,,,,,,,,,
1680,,,,,,,,,,,,,,,,
1681,,,,,,,,,,,,,,,,
1682,,,,,,,,,,,,,,,,
1683,,,,,,,,,,,,,,,,
